Id,ImdbId,Name
c8530609-4edf-40ac-8643-1f926422a846,nm0955363,Jinting Zhang
d2478dc8-7e61-4a5c-870b-ddf051a8eb9e,nm0946046,Rui Yang
d95140a1-9c9f-45ba-a85d-992e7d789b67,nm0511482,David Linde
deaf26c5-a84e-4d55-8ef4-771e17cc1c78,nm0514917,Er-Dong Liu
03606cd4-6108-40ef-9dd5-a567e3545fa2,nm0190046,Beatrice Crumb
148d9517-b2a2-450d-b83a-b365134d8627,nm0257605,Deirdre English
1da43a98-6f7c-4059-b91e-45e1f03c81eb,nm0400889,Robert Hughes
35f0d96d-4930-40c1-a4a0-832200e595fd,nm0929429,Lawrence Wilkinson
3a8207a7-a536-4a8d-a3e4-1919a51f9557,nm0355148,Neal Halfon
3aa0a879-7109-4f9a-bb29-798959b437e7,nm0730483,Trina Robbins
412cccaf-77a1-42cb-ba86-57768f33457b,nm0190052,Maxon Crumb
54812d51-10a2-40d0-a112-e5279e52c023,nm0612195,Martin Muller
5c0deb6d-a0a3-44e4-b0e7-099ab138a4e6,nm0361243,Dian Hanson
5c9f5161-51f9-42b6-b62a-00a3df2ece96,nm0190055,Sophie Crumb
650b70fd-29a7-4a23-b0f7-4b7bdc48adaa,nm0190045,Aline Kominsky-Crumb
776e70a6-4253-4b8b-8132-6bb1e8714182,nm0074100,Albert Berger
78048a9f-3bad-4213-825c-6f4a51874991,nm0190047,Charles Crumb
7b36a77f-d5f1-4278-a2eb-23cb8dab3746,nm0640804,Lynn O'Donnell
a10d2498-8c8f-4406-9ec7-6ba16945cdee,nm0190054,Robert Crumb
a5fec7ed-aacc-4312-b000-7129f1338f14,nm0231940,Don Donahue
b7351c7a-2d5e-44e3-8986-9dafaf695bea,nm0355147,Lianne Halfon
b806f5f1-bd32-4cff-b9be-9d74842f58e8,nm0328852,Kathy Goodell
baf84c5f-563b-48ee-853a-6c9328f755c0,nm0959062,Terry Zwigoff
c148ed38-cc47-4390-b9f1-6f0f0ec09804,nm0735523,Spain Rodriguez
c26b8393-80c1-4bad-89c6-e30eb396288f,nm0649710,Peggy Orenstein
f1031a27-4245-4b29-841c-d15970ebe102,nm0190049,Dana Morgan
